Transaction Number,Date,Quantity,Product,CommissionType,Value,Status,Total,SellerId
mtl-12515,2022-09-24 14:36,2,VoIP Phone,Silver,3,Paid,$319.98,254
mtl-12516,2022-01-19 19:51,3,Wireless Microphone,Bronze,2,Pending,$179.97,425
mtl-12517,2022-12-21 12:05,2,Satellite Phone,Gold,4,Processing,$519.98,644
mtl-12518,2022-10-16 20:02,3,Wireless Range Extender,Bronze,2,Pending,$225.00,30087
mtl-12519,2022-04-18 15:13,3,Wireless Mouse,Gold,4,Processing,$75.00,29885
mtl-12520,2022-02-13 3:19,4,Wireless Home Security System,Silver,3,Pending,"$1,039.96",443
mtl-12521,2023-01-23 12:39,1,Wireless Router,Gold,4,Pending,$59.99,29879
mtl-12522,2022-08-24 4:13,1,Wireless Printer,Silver,3,Processing,$75.00,30047
mtl-12523,2022-02-24 11:19,4,Wireless Storage Device,Silver,3,Processing,$839.96,30118
mtl-12524,2022-02-25 11:00,5,Antenna,Silver,3,Paid,$299.95,30016
mtl-12525,2022-04-06 22:16,1,Wireless Video Streaming Device,Bronze,2,Processing,$75.00,239
mtl-12526,2022-08-25 18:03,5,Smartwatch,Gold,4,Pending,"$1,049.95",454
mtl-12527,2022-11-13 19:42,5,IP Camera,Gold,4,Pending,"$1,049.95",29605
mtl-12528,2022-06-27 22:59,2,Satellite Phone,Silver,3,Paid,$519.98,343
mtl-12529,2022-07-21 20:52,2,Cable Modem,Silver,3,Paid,$150.00,358
mtl-12530,2022-07-24 12:53,3,Streaming Media Player,Bronze,2,Paid,$225.00,96
mtl-12531,2022-01-23 11:28,2,Cable Modem,Gold,4,Paid,$150.00,366
mtl-12532,2023-01-15 16:32,1,Wireless Home Entertainment System,Gold,4,Pending,$409.99,29847
mtl-12533,2022-03-24 18:47,2,IP Camera,Silver,3,Paid,$419.98,29929
mtl-12534,2023-01-30 10:03,1,Smart Home Door Lock,Gold,4,Paid,$159.99,29975
mtl-12535,2022-01-11 13:21,2,Wireless Video Camera,Gold,4,Pending,$219.98,29544
mtl-12536,2023-02-14 10:04,3,Smart TV,Bronze,2,Processing,"$1,529.97",334
mtl-12537,2022-08-28 7:55,5,Bluetooth Speaker,Gold,4,Processing,$299.95,29847
mtl-12538,2022-09-24 7:25,4,Satellite Dish,Gold,4,Pending,$639.96,697
mtl-12539,2022-06-18 15:35,5,Satellite Phone,Silver,3,Pending,"$1,299.95",30111
mtl-12540,2022-02-14 23:40,2,Wireless Home Entertainment System,Gold,4,Paid,$819.98,29919
mtl-12541,2022-07-15 20:54,4,Smart Home Lighting,Gold,4,Paid,$300.00,29567
mtl-12542,2022-12-14 10:00,2,Wireless Home Network System,Bronze,2,Pending,$319.98,457
mtl-12543,2022-11-05 6:21,5,Wireless Router,Silver,3,Pending,$299.95,29553
mtl-12544,2022-11-19 6:10,4,Wireless Home Surveillance System,Silver,3,Processing,"$1,239.96",29601
mtl-12545,2022-12-08 22:14,2,Wireless Speaker,Bronze,2,Pending,$150.00,563
mtl-12546,2022-05-06 0:11,3,Wireless Network Adapter,Bronze,2,Pending,$179.97,238
mtl-12547,2022-04-28 18:11,4,GPS Navigation System,Silver,3,Paid,$839.96,66
mtl-12548,2023-03-06 2:50,4,Wireless Game Controller,Silver,3,Paid,$239.96,129
mtl-12549,2022-10-28 9:51,4,Wireless Charger,Silver,3,Paid,$100.00,180
mtl-12550,2022-04-18 7:55,4,Wireless Home Automation System,Bronze,2,Paid,"$2,039.96",29780
mtl-12551,2023-04-13 19:28,1,Smart Home Lighting,Gold,4,Pending,$75.00,30105
mtl-12552,2023-02-22 22:02,4,Wireless Network Adapter,Gold,4,Paid,$239.96,545
mtl-12553,2023-01-24 17:53,3,Network Switch,Silver,3,Processing,$479.97,187
mtl-12554,2022-07-07 3:19,3,Network Switch,Silver,3,Processing,$479.97,484
mtl-12555,2022-02-22 20:18,2,Wireless Home Entertainment System,Silver,3,Pending,$819.98,29770
mtl-12556,2022-05-01 4:44,5,Wireless Game Controller,Gold,4,Paid,$299.95,685
mtl-12557,2022-02-18 12:39,1,Smart Home Camera,Silver,3,Processing,$109.99,460
mtl-12558,2022-11-19 11:46,1,Laptop,Bronze,2,Pending,$809.99,29911
mtl-12559,2022-03-18 9:16,2,Smart Home Hub,Silver,3,Pending,$219.98,30016
mtl-12560,2022-01-04 16:52,5,Wireless Storage Device,Gold,4,Pending,"$1,049.95",298
mtl-12561,2023-02-07 0:37,5,Modem,Gold,4,Paid,$375.00,30042
mtl-12562,2022-08-10 4:01,5,Cable Modem,Silver,3,Pending,$375.00,29764
mtl-12563,2022-05-12 16:11,4,Wireless Backup Drive,Silver,3,Pending,$639.96,696
mtl-12564,2022-12-10 11:45,2,Wireless Home Surveillance System,Silver,3,Pending,$619.98,147
mtl-12565,2022-01-16 19:27,2,Satellite Phone,Silver,3,Processing,$519.98,208
mtl-12566,2023-01-27 12:45,4,IP Camera,Bronze,2,Paid,$839.96,29566
mtl-12567,2023-02-09 7:06,5,Wireless Home Network System,Bronze,2,Paid,$799.95,29944
mtl-12568,2022-01-29 1:56,3,Satellite Radio,Gold,4,Processing,$329.97,29859
mtl-12569,2022-06-30 12:00,2,Wireless Backup Drive,Silver,3,Pending,$319.98,147
mtl-12570,2022-03-29 5:19,5,Modem,Silver,3,Processing,$375.00,30044
mtl-12571,2022-11-08 10:35,5,Smart Home Hub,Bronze,2,Pending,$549.95,39
mtl-12572,2023-01-14 3:24,4,Wireless Home Entertainment System,Gold,4,Paid,"$1,639.96",29655
mtl-12573,2023-01-22 19:34,4,Wireless Security System,Silver,3,Processing,$639.96,617
mtl-12574,2023-02-02 18:21,3,Cable Modem,Silver,3,Paid,$225.00,29924
mtl-12575,2022-02-07 6:06,2,Satellite Radio,Bronze,2,Pending,$219.98,29736
mtl-12576,2022-05-04 2:52,4,Wireless Video Doorbell,Gold,4,Paid,$639.96,218
mtl-12577,2022-04-09 19:38,1,Smart TV,Silver,3,Processing,$509.99,29524
mtl-12578,2023-03-26 2:16,5,Fiber Optic Modem,Bronze,2,Pending,$799.95,29521
mtl-12579,2022-09-15 14:29,1,Wireless Video Camera,Bronze,2,Processing,$109.99,29636
mtl-12580,2022-06-18 9:43,1,Smart Home Thermostat,Gold,4,Paid,$209.99,226
mtl-12581,2022-09-29 18:51,2,Wireless Video Doorbell,Silver,3,Pending,$319.98,29911
mtl-12582,2022-09-14 5:25,4,Satellite Phone,Bronze,2,Paid,"$1,039.96",30016
mtl-12583,2022-06-29 7:02,4,GPS Navigation System,Gold,4,Paid,$839.96,166
mtl-12584,2023-01-27 9:47,5,Wireless Storage Device,Bronze,2,Pending,"$1,049.95",461
mtl-12585,2023-02-14 14:42,3,Smart Home Security System,Gold,4,Processing,"$1,529.97",644
mtl-12586,2023-01-02 17:49,4,Wireless Router,Silver,3,Pending,$239.96,29510
mtl-12587,2022-01-28 0:34,4,Smart Home Security System,Silver,3,Paid,"$2,039.96",29683
mtl-12588,2022-06-30 16:16,3,Wireless Security System,Gold,4,Pending,$479.97,29816
mtl-12589,2022-09-15 3:24,1,Smart Home Security System,Silver,3,Paid,$509.99,29631
mtl-12590,2023-03-31 12:23,2,GPS Navigation System,Gold,4,Processing,$419.98,679
mtl-12591,2022-04-19 0:46,4,Laptop,Silver,3,Pending,"$3,239.96",29868
mtl-12592,2023-04-19 12:03,3,Wireless Home Surveillance System,Gold,4,Paid,$929.97,185
mtl-12593,2022-06-10 9:47,3,GPS Navigation System,Gold,4,Processing,$629.97,29921
mtl-12594,2023-03-25 10:50,3,Wireless Audio Receiver,Gold,4,Paid,$225.00,29948
mtl-12595,2022-12-07 3:49,5,Wireless Security System,Gold,4,Paid,$799.95,418
mtl-12596,2022-07-07 7:28,1,Wireless Router,Silver,3,Paid,$59.99,29683
mtl-12597,2023-01-15 11:03,2,Wireless Headphones,Silver,3,Paid,$150.00,29636
mtl-12598,2022-05-03 17:55,3,Satellite Phone,Bronze,2,Processing,$779.97,29973
mtl-12599,2023-04-21 6:18,2,Wireless Video Doorbell,Bronze,2,Paid,$319.98,29744
mtl-12600,2022-03-28 16:54,4,Cell Phone,Silver,3,Processing,$439.96,11
mtl-12601,2022-06-21 21:37,3,Desktop Computer,Silver,3,Pending,"$3,029.97",38
mtl-12602,2022-08-16 1:14,2,Wireless Home Network System,Silver,3,Processing,$319.98,165
mtl-12603,2022-07-04 14:11,1,Wireless Headphones,Bronze,2,Pending,$75.00,466
mtl-12604,2022-03-06 20:28,5,Wireless Storage Device,Silver,3,Paid,"$1,049.95",580
mtl-12605,2023-02-06 9:00,2,VoIP Phone,Silver,3,Pending,$319.98,29568
mtl-12606,2022-11-24 18:13,4,Wireless Video Doorbell,Bronze,2,Processing,$639.96,30087
mtl-12607,2022-04-13 19:16,1,Smart Home Hub,Gold,4,Pending,$109.99,187
mtl-12608,2022-07-30 1:51,4,Smart Home Camera,Bronze,2,Paid,$439.96,29689
mtl-12609,2022-03-14 5:14,4,Satellite Radio,Silver,3,Paid,$439.96,417
mtl-12610,2023-02-10 19:33,4,Wireless Backup Drive,Silver,3,Pending,$639.96,29824
mtl-12611,2022-06-26 15:48,1,DSL Modem,Gold,4,Pending,$75.00,29803
mtl-12612,2022-12-12 15:03,3,Wireless Home Security System,Silver,3,Pending,$779.97,29873
mtl-12613,2022-01-25 0:54,5,Tablet,Silver,3,Pending,"$1,549.95",436
mtl-12614,2023-01-14 14:31,1,Smart Home Hub,Silver,3,Pending,$109.99,679
mtl-12615,2022-04-21 0:22,2,Wireless Video Streaming Device,Gold,4,Processing,$150.00,29605
mtl-12616,2022-04-18 22:36,2,Wireless Access Point,Silver,3,Paid,$150.00,29867
mtl-12617,2022-02-17 5:02,3,Cell Phone,Bronze,2,Pending,$329.97,674
mtl-12618,2023-02-03 10:14,3,Smartphone,Gold,4,Pending,"$1,529.97",29870
mtl-12619,2022-09-25 22:00,3,Satellite Phone,Gold,4,Paid,$779.97,437
mtl-12620,2023-01-28 5:39,3,Smart Home Appliance,Bronze,2,Pending,$779.97,29600
mtl-12621,2023-01-06 18:50,1,Wireless Speaker,Gold,4,Pending,$75.00,307
mtl-12622,2022-03-21 2:32,1,Wireless Home Surveillance System,Gold,4,Pending,$309.99,470
mtl-12623,2022-10-18 10:03,5,Wireless Audio Receiver,Gold,4,Processing,$375.00,327
mtl-12624,2022-12-06 4:09,2,Wireless Video Camera,Silver,3,Pending,$219.98,29744
mtl-12625,2022-07-01 15:35,3,Smart Home Thermostat,Gold,4,Pending,$629.97,443
mtl-12626,2022-05-18 20:52,3,Smart TV,Bronze,2,Pending,"$1,529.97",30063
mtl-12627,2023-01-16 7:23,4,Wireless Home Network System,Gold,4,Pending,$639.96,29662
mtl-12628,2022-09-28 2:53,4,Bluetooth Speaker,Gold,4,Pending,$239.96,29574
mtl-12629,2022-06-30 13:00,2,Wireless Home Entertainment System,Gold,4,Paid,$819.98,184
mtl-12630,2022-06-21 7:36,3,Smart Home Thermostat,Gold,4,Pending,$629.97,29663
mtl-12631,2022-04-29 18:43,1,Wireless Mouse,Bronze,2,Pending,$25.00,244
mtl-12632,2022-08-08 5:04,5,Smart Home Camera,Silver,3,Processing,$549.95,29566
mtl-12633,2023-04-19 18:55,4,Smartphone,Gold,4,Paid,"$2,039.96",29901
mtl-12634,2023-02-03 18:41,3,Wireless Home Surveillance System,Bronze,2,Pending,$929.97,29768
mtl-12635,2023-01-30 5:30,1,Wireless Keyboard,Gold,4,Paid,$59.99,334
mtl-12636,2022-02-13 11:04,4,Laptop,Bronze,2,Pending,"$3,239.96",385
mtl-12637,2022-08-28 23:05,2,Wireless Home Entertainment System,Silver,3,Processing,$819.98,484
mtl-12638,2023-03-28 5:47,4,Smart Home Thermostat,Gold,4,Pending,$839.96,29601
mtl-12639,2022-10-10 13:33,1,Satellite Dish,Gold,4,Processing,$159.99,29502
mtl-12640,2022-09-18 10:40,4,Bluetooth Speaker,Gold,4,Processing,$239.96,187
mtl-12641,2022-06-29 3:48,1,Modem,Gold,4,Pending,$75.00,29699
mtl-12642,2022-07-07 15:20,3,Smart TV,Gold,4,Paid,"$1,529.97",435
mtl-12643,2022-09-21 17:54,3,Streaming Media Player,Silver,3,Pending,$225.00,29605
mtl-12644,2023-03-30 22:22,2,Wireless Security System,Bronze,2,Paid,$319.98,275
mtl-12645,2022-12-03 5:03,5,Wireless Game Controller,Silver,3,Pending,$299.95,29741
mtl-12646,2022-11-07 15:05,4,Bluetooth Speaker,Silver,3,Pending,$239.96,363
mtl-12647,2022-12-17 11:48,2,Wireless Headphones,Bronze,2,Paid,$150.00,328
mtl-12648,2022-01-17 1:07,1,Fiber Optic Modem,Silver,3,Paid,$159.99,471
mtl-12649,2022-01-06 12:53,4,Wireless Home Surveillance System,Silver,3,Pending,"$1,239.96",641
mtl-12650,2022-11-13 21:25,3,Smartphone,Bronze,2,Pending,"$1,529.97",569
mtl-12651,2022-01-06 12:08,1,Smartwatch,Bronze,2,Pending,$209.99,604
mtl-12652,2022-12-22 7:55,2,Wireless Game Controller,Bronze,2,Pending,$119.98,434
mtl-12653,2022-04-15 12:22,5,Fiber Optic Modem,Silver,3,Paid,$799.95,186
mtl-12654,2022-05-10 13:26,1,Antenna,Gold,4,Pending,$59.99,29659
mtl-12655,2022-07-25 0:32,5,Wireless Video Game Console,Gold,4,Pending,"$1,549.95",201
mtl-12656,2023-03-14 6:01,3,Wireless Home Automation System,Gold,4,Paid,"$1,529.97",641
mtl-12657,2022-07-27 14:03,1,Wireless Network Adapter,Silver,3,Paid,$59.99,290
mtl-12658,2022-08-09 20:38,3,Wireless Printer,Silver,3,Processing,$225.00,186
mtl-12659,2023-01-19 15:30,5,Smart TV,Bronze,2,Processing,"$2,549.95",29982
mtl-12660,2022-04-30 8:14,4,Cable Modem,Silver,3,Paid,$300.00,30034
mtl-12661,2022-01-11 5:23,3,Streaming Media Player,Silver,3,Pending,$225.00,498
mtl-12662,2022-03-28 7:19,5,Satellite Dish,Bronze,2,Processing,$799.95,466
mtl-12663,2022-12-13 12:24,2,Wireless Backup Drive,Silver,3,Processing,$319.98,29623
mtl-12664,2022-05-23 3:01,5,Smart Home Appliance,Bronze,2,Pending,"$1,299.95",385
mtl-12665,2022-02-25 12:45,1,DSL Modem,Bronze,2,Pending,$75.00,352
mtl-12666,2022-07-05 6:50,5,Wireless Security System,Gold,4,Processing,$799.95,460
mtl-12667,2022-12-14 13:04,1,Wireless Video Game Console,Bronze,2,Paid,$309.99,29860
mtl-12668,2022-06-26 4:02,1,Wireless Video Streaming Device,Gold,4,Pending,$75.00,407
mtl-12669,2023-01-14 21:09,3,Wireless Headphones,Silver,3,Pending,$225.00,29525
mtl-12670,2022-11-05 0:06,5,Modem,Gold,4,Pending,$375.00,131
mtl-12671,2022-12-08 23:01,4,Wireless Audio Receiver,Bronze,2,Processing,$300.00,583
mtl-12672,2022-03-07 22:38,3,Network Switch,Gold,4,Processing,$479.97,148
mtl-12673,2022-01-30 1:47,3,Wireless Home Automation System,Gold,4,Processing,"$1,529.97",402
mtl-12674,2022-04-27 0:50,1,VoIP Phone,Silver,3,Paid,$159.99,220
mtl-12675,2022-04-30 22:58,2,Wireless Storage Device,Gold,4,Processing,$419.98,30044
mtl-12676,2023-02-11 0:35,3,Wireless Home Surveillance System,Bronze,2,Processing,$929.97,196
mtl-12677,2022-10-30 1:26,5,Wireless Printer,Silver,3,Paid,$375.00,30016
mtl-12678,2022-08-15 13:26,5,Bluetooth Speaker,Bronze,2,Paid,$299.95,29859
mtl-12679,2023-03-12 21:04,2,Smart Home Door Lock,Bronze,2,Pending,$319.98,29740
mtl-12680,2022-04-28 2:10,2,Network Switch,Silver,3,Pending,$319.98,621
mtl-12681,2022-09-25 8:07,5,Smart Home Appliance,Silver,3,Pending,"$1,299.95",29766
mtl-12682,2022-03-06 3:49,2,Wireless Mouse,Gold,4,Processing,$50.00,274
mtl-12683,2022-06-01 6:28,5,Desktop Computer,Gold,4,Pending,"$5,049.95",649
mtl-12684,2022-05-04 15:49,3,Wireless Backup Drive,Silver,3,Paid,$479.97,454
mtl-12685,2022-08-09 14:52,5,Fiber Optic Modem,Silver,3,Paid,$799.95,29544
mtl-12686,2022-08-11 3:50,4,Modem,Gold,4,Pending,$300.00,290
mtl-12687,2022-11-29 11:39,2,Smart Home Hub,Silver,3,Pending,$219.98,29525
mtl-12688,2023-03-02 5:53,1,Wireless Audio Receiver,Gold,4,Processing,$75.00,29782
mtl-12689,2022-12-22 12:18,3,Smart Home Camera,Gold,4,Processing,$329.97,29834
mtl-12690,2022-06-24 6:39,4,Wireless Home Automation System,Silver,3,Paid,"$2,039.96",29562
mtl-12691,2022-04-23 7:40,5,Wireless Home Entertainment System,Gold,4,Processing,"$2,049.95",29949
mtl-12692,2022-11-22 1:39,1,Modem,Bronze,2,Paid,$75.00,581
mtl-12693,2022-04-17 12:47,5,Wireless Home Network System,Silver,3,Paid,$799.95,29768
mtl-12694,2023-02-27 8:27,4,Wireless Range Extender,Gold,4,Processing,$300.00,218
mtl-12695,2022-06-25 14:07,2,Satellite Dish,Gold,4,Pending,$319.98,29758
mtl-12696,2022-08-21 9:38,1,Cable Modem,Silver,3,Paid,$75.00,394
mtl-12697,2022-06-15 14:02,3,Wireless Video Doorbell,Gold,4,Processing,$479.97,95
mtl-12698,2022-01-04 8:34,1,Modem,Gold,4,Processing,$75.00,298
mtl-12699,2022-06-02 8:34,5,Wireless Home Network System,Silver,3,Processing,$799.95,352
mtl-12700,2022-12-24 11:59,5,Wireless Home Automation System,Bronze,2,Paid,"$2,549.95",288
mtl-12701,2022-01-18 12:43,3,Smart Home Camera,Gold,4,Paid,$329.97,29973
mtl-12702,2022-07-22 9:52,5,Wireless Charger,Gold,4,Paid,$125.00,581
mtl-12703,2022-07-30 6:22,5,Wireless Video Game Console,Gold,4,Processing,"$1,549.95",29781
mtl-12704,2022-11-17 12:20,4,Wireless Printer,Bronze,2,Pending,$300.00,29975
mtl-12705,2023-01-04 21:59,1,Satellite Radio,Silver,3,Pending,$109.99,307
mtl-12706,2022-05-16 9:44,3,Wireless Router,Silver,3,Paid,$179.97,307
mtl-12707,2022-02-04 15:50,2,Wireless Home Entertainment System,Silver,3,Paid,$819.98,30012
mtl-12708,2022-06-11 8:20,4,Smart TV,Silver,3,Pending,"$2,039.96",352
mtl-12709,2023-01-28 21:51,1,Wireless Storage Device,Silver,3,Paid,$209.99,29910
mtl-12710,2023-04-15 14:13,3,Wireless Speaker,Bronze,2,Paid,$225.00,253
mtl-12711,2022-03-26 12:38,3,Wireless Audio Receiver,Bronze,2,Pending,$225.00,408
mtl-12712,2022-01-21 2:54,4,Smartphone,Silver,3,Processing,"$2,039.96",29766
mtl-12713,2022-10-05 6:06,2,Wireless Backup Drive,Gold,4,Pending,$319.98,29857
mtl-12714,2023-02-28 22:06,2,Desktop Computer,Bronze,2,Paid,"$2,019.98",460
mtl-12715,2022-03-16 12:09,4,Smart Home Camera,Gold,4,Paid,$439.96,30105
mtl-12716,2022-08-12 14:17,2,GPS Navigation System,Gold,4,Pending,$419.98,421
mtl-12717,2022-10-21 7:21,2,GPS Navigation System,Bronze,2,Pending,$419.98,617
mtl-12718,2023-02-03 12:51,3,Wireless Video Camera,Silver,3,Paid,$329.97,272
mtl-12719,2022-01-12 19:27,5,Satellite Phone,Silver,3,Paid,"$1,299.95",418
mtl-12720,2022-06-15 7:16,2,Wireless Speaker,Gold,4,Paid,$150.00,288
mtl-12721,2022-12-02 14:32,4,Wireless Security System,Gold,4,Paid,$639.96,385
mtl-12722,2023-04-26 3:30,4,Wireless Security System,Silver,3,Processing,$639.96,596
mtl-12723,2023-01-14 22:04,4,Wireless Keyboard,Silver,3,Paid,$239.96,274
mtl-12724,2022-04-18 4:51,4,Wireless Keyboard,Bronze,2,Paid,$239.96,29683
mtl-12725,2022-11-15 12:06,2,Smartphone,Bronze,2,Processing,"$1,019.98",29550
mtl-12726,2022-03-16 7:16,3,Wireless Home Entertainment System,Silver,3,Paid,"$1,229.97",29924
mtl-12727,2022-07-05 22:27,5,Wireless Video Streaming Device,Gold,4,Pending,$375.00,587
mtl-12728,2023-01-09 10:33,4,Wireless Video Camera,Silver,3,Pending,$439.96,29663
mtl-12729,2023-04-20 11:38,1,Network Switch,Silver,3,Processing,$159.99,610
mtl-12730,2023-03-26 20:05,2,Cell Phone,Silver,3,Paid,$219.98,498
mtl-12731,2022-07-04 9:13,5,Wireless Microphone,Bronze,2,Paid,$299.95,29824
mtl-12732,2022-08-23 13:44,3,Fiber Optic Modem,Bronze,2,Pending,$479.97,701
mtl-12733,2022-09-27 20:34,4,Wireless Speaker,Gold,4,Pending,$300.00,29728
mtl-12734,2022-05-01 18:05,5,Wireless Audio Receiver,Bronze,2,Processing,$375.00,61
mtl-12735,2022-06-30 22:11,2,Cable TV Box,Silver,3,Pending,$219.98,29859
mtl-12736,2022-03-18 18:28,1,IP Camera,Gold,4,Processing,$209.99,29919
mtl-12737,2022-01-30 15:25,1,Smart Home Door Lock,Gold,4,Pending,$159.99,38
mtl-12738,2023-02-21 10:58,1,Satellite Phone,Bronze,2,Processing,$259.99,29876
mtl-12739,2022-04-28 23:37,4,Wireless Security System,Bronze,2,Paid,$639.96,218
mtl-12740,2022-03-13 12:53,1,Smart Home Door Lock,Gold,4,Processing,$159.99,29668
mtl-12741,2022-05-01 21:53,5,Desktop Computer,Gold,4,Pending,"$5,049.95",362
mtl-12742,2023-01-02 1:59,3,Satellite Dish,Gold,4,Paid,$479.97,29938
mtl-12743,2022-10-20 11:39,3,Antenna,Gold,4,Processing,$179.97,430
mtl-12744,2022-02-01 21:55,3,Cable TV Box,Bronze,2,Paid,$329.97,29736
mtl-12745,2022-08-17 5:00,1,Wireless Backup Drive,Bronze,2,Pending,$159.99,29813
mtl-12746,2022-10-14 14:04,3,Wireless Range Extender,Bronze,2,Processing,$225.00,448
mtl-12747,2023-03-09 11:04,3,Satellite Phone,Gold,4,Pending,$779.97,131
mtl-12748,2023-02-21 14:13,1,Smart Home Hub,Gold,4,Processing,$109.99,29771
mtl-12749,2022-04-11 20:45,3,Cell Phone,Silver,3,Pending,$329.97,275
mtl-12750,2022-06-12 1:37,5,Wireless Mouse,Bronze,2,Pending,$125.00,29867
mtl-12751,2023-01-14 18:04,5,Wireless Home Entertainment System,Bronze,2,Paid,"$2,049.95",288
mtl-12752,2022-09-06 20:41,5,Smart Home Sensor,Gold,4,Paid,$299.95,29998
mtl-12753,2022-11-16 0:08,4,Wireless Storage Device,Silver,3,Paid,$839.96,29982
mtl-12754,2023-04-13 1:41,2,Wireless Video Game Console,Gold,4,Paid,$619.98,10
mtl-12755,2022-03-20 20:58,3,Wireless Microphone,Bronze,2,Paid,$179.97,307
mtl-12756,2022-02-26 5:06,3,Smartwatch,Gold,4,Processing,$629.97,327
mtl-12757,2023-04-03 10:35,2,Smart Home Door Lock,Silver,3,Processing,$319.98,29577
mtl-12758,2022-01-12 22:51,3,Wireless Range Extender,Gold,4,Paid,$225.00,29764
mtl-12759,2023-04-14 10:43,2,Antenna,Bronze,2,Pending,$119.98,29824
mtl-12760,2022-09-17 13:45,4,Wireless Speaker,Silver,3,Paid,$300.00,29778
mtl-12761,2022-03-19 14:53,5,Wireless Home Automation System,Silver,3,Paid,"$2,549.95",29800
mtl-12762,2022-01-19 9:04,2,Wireless Access Point,Bronze,2,Paid,$150.00,29659
mtl-12763,2022-08-16 15:44,3,Antenna,Silver,3,Paid,$179.97,407
mtl-12764,2022-04-26 12:18,3,Wireless Keyboard,Bronze,2,Pending,$179.97,257
mtl-12765,2022-09-14 6:15,3,Smart Home Camera,Silver,3,Pending,$329.97,29553
mtl-12766,2022-04-05 18:11,2,Wireless Storage Device,Bronze,2,Pending,$419.98,29800
mtl-12767,2023-03-28 21:14,2,Wireless Headphones,Bronze,2,Pending,$150.00,286
mtl-12768,2022-10-01 20:48,3,Wireless Home Network System,Bronze,2,Pending,$479.97,29662
mtl-12769,2022-09-08 9:14,5,Smart Home Appliance,Gold,4,Processing,"$1,299.95",425
mtl-12770,2022-03-31 13:51,3,Network Switch,Silver,3,Processing,$479.97,29502
mtl-12771,2023-02-09 21:10,1,IP Camera,Gold,4,Pending,$209.99,29527
mtl-12772,2022-12-11 3:59,4,Wireless Keyboard,Gold,4,Processing,$239.96,165
mtl-12773,2022-09-27 0:36,3,Bluetooth Speaker,Bronze,2,Paid,$179.97,48
mtl-12774,2022-08-30 1:03,4,Smart Home Camera,Silver,3,Processing,$439.96,29646
mtl-12775,2022-10-31 3:37,5,Fiber Optic Modem,Bronze,2,Paid,$799.95,30024
mtl-12776,2022-05-10 12:07,4,GPS Navigation System,Gold,4,Processing,$839.96,30044
mtl-12777,2022-06-25 5:47,2,Wireless Video Doorbell,Gold,4,Processing,$319.98,29911
mtl-12778,2023-04-27 4:06,5,Smart Home Security System,Bronze,2,Processing,"$2,549.95",29683
mtl-12779,2023-02-02 22:02,2,Wireless Home Security System,Silver,3,Processing,$519.98,444
mtl-12780,2022-09-26 16:52,1,Cell Phone,Bronze,2,Processing,$109.99,29872
mtl-12781,2022-07-12 4:46,4,Wireless Access Point,Silver,3,Pending,$300.00,129
mtl-12782,2023-01-17 0:39,1,Wireless Storage Device,Gold,4,Pending,$209.99,457
mtl-12783,2022-07-19 6:53,4,Wireless Video Game Console,Bronze,2,Paid,"$1,239.96",29949
